                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5681,                 5.6959,                 4.2787,                 3.3643,                 7.8369,                 4.3482,                      0,                0.00563,                  1e-05,                      0,                 3.4642,                 5.7472,                 4.1589,                 3.3103,                 8.8081,                 4.1589,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.5625,                 5.7203,                 4.2431,                 3.3379,                 7.8958,                 4.2721,                      0,                0.00563,                  1e-05,                      0,                 3.4643,                 5.7475,                 4.1589,                 3.3104,                  8.808,                 4.1589,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 3.5764,                 5.7055,                 4.2399,                 3.3743,                 7.7102,                 4.2791,                      0,                0.00563,                  1e-05,                      0,                 3.4643,                 5.7472,                 4.1589,                 3.3105,                 8.8073,                  4.159,             9.3058e-06,             9.3058e-06,             9.3058e-06
