epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16330.7,2.71635,2.11073,1.02641,0.55593,0.15019,0.14069,0.09654,0.98785,1.83611,0.97625,0.005842,0.005842,0.005842
44,16710.1,2.33576,2.06045,1.01422,0.56897,0.14675,0.13739,0.09507,0.93421,1.82118,0.98002,0.005743,0.005743,0.005743
45,17091,2.91584,2.08404,1.01456,0.56096,0.15643,0.13977,0.09771,0.88841,1.81085,0.97294,0.005644,0.005644,0.005644
46,17471.3,2.5483,2.05803,1.0138,0.56882,0.16082,0.14101,0.09965,0.75176,1.79542,0.96651,0.005545,0.005545,0.005545
47,17851.3,2.52055,2.05251,1.0154,0.57355,0.15485,0.14295,0.09993,1.0081,1.78287,0.97979,0.005446,0.005446,0.005446
48,18232.1,2.30811,2.02404,1.0044,0.5602,0.15964,0.14669,0.10323,0.83452,1.77749,0.96097,0.005347,0.005347,0.005347
49,18611.9,2.606,2.00641,1.00224,0.54874,0.17154,0.15715,0.11204,0.80292,1.76634,0.95672,0.005248,0.005248,0.005248
50,18992.6,2.57741,2.00857,1.00508,0.50646,0.18309,0.15378,0.10922,0.83632,1.76596,0.95754,0.005149,0.005149,0.005149
51,19373,2.36635,1.97833,0.98945,0.59411,0.15942,0.14974,0.10597,0.72347,1.75557,0.95232,0.00505,0.00505,0.00505
52,19753.3,2.08946,1.9747,0.9923,0.5306,0.1719,0.15864,0.11199,0.72466,1.75121,0.94328,0.004951,0.004951,0.004951
53,20133.6,2.38487,1.96818,0.99693,0.55351,0.169,0.16138,0.11354,0.75849,1.74595,0.94296,0.004852,0.004852,0.004852
54,20513.8,2.25066,1.94608,0.99112,0.50876,0.18748,0.16187,0.1127,0.79347,1.72946,0.94584,0.004753,0.004753,0.004753
55,20894.9,2.3211,1.92559,0.98859,0.53568,0.1858,0.16287,0.11494,0.69077,1.71759,0.94872,0.004654,0.004654,0.004654
56,21274.3,2.08212,1.948,0.98207,0.53907,0.19665,0.16916,0.12087,0.7657,1.71641,0.94342,0.004555,0.004555,0.004555
57,21653.6,2.10087,1.93096,0.98532,0.56532,0.18754,0.17021,0.11992,0.83968,1.7086,0.94935,0.004456,0.004456,0.004456
58,22033.3,2.21182,1.92587,0.98205,0.57253,0.18172,0.16587,0.11714,0.78365,1.70359,0.94066,0.004357,0.004357,0.004357
59,22412.6,2.07935,1.88969,0.98454,0.54366,0.18296,0.16929,0.11924,0.72889,1.69528,0.9382,0.004258,0.004258,0.004258
60,22792.7,1.92551,1.89497,0.97685,0.54377,0.18629,0.17163,0.12159,0.6857,1.6914,0.93836,0.004159,0.004159,0.004159
61,23173.1,2.06044,1.87899,0.98547,0.5285,0.18334,0.17869,0.12792,0.63012,1.68799,0.93598,0.00406,0.00406,0.00406
62,23554.3,1.82217,1.8339,0.96593,0.51748,0.19163,0.18014,0.1302,0.68409,1.68483,0.93649,0.003961,0.003961,0.003961
63,23934.7,2.0294,1.87992,0.97704,0.53617,0.194,0.1726,0.12342,0.71861,1.67729,0.94385,0.003862,0.003862,0.003862
64,24314.9,1.85852,1.84639,0.96857,0.55875,0.18754,0.17547,0.12537,0.62677,1.67133,0.94088,0.003763,0.003763,0.003763
65,24696.4,2.01052,1.85327,0.97628,0.57321,0.18612,0.17835,0.12813,0.592,1.66765,0.93894,0.003664,0.003664,0.003664
66,25077.1,1.97911,1.84501,0.96792,0.5728,0.18411,0.17423,0.12498,0.60418,1.66377,0.93672,0.003565,0.003565,0.003565
67,25457.8,1.58676,1.80205,0.9594,0.58382,0.18752,0.17611,0.12558,0.62614,1.65631,0.9345,0.003466,0.003466,0.003466
68,25839.4,2.13804,1.81193,0.96712,0.5883,0.18809,0.18427,0.13305,0.63585,1.65238,0.93368,0.003367,0.003367,0.003367
69,26221.4,1.67669,1.79739,0.95701,0.57597,0.19307,0.18677,0.13437,0.62645,1.64809,0.93139,0.003268,0.003268,0.003268
70,26603.9,1.94251,1.7883,0.96561,0.56864,0.19274,0.18936,0.13673,0.59844,1.64234,0.92774,0.003169,0.003169,0.003169
71,26983.8,1.76895,1.78709,0.95576,0.55238,0.2016,0.1894,0.13559,0.60288,1.63762,0.92734,0.00307,0.00307,0.00307
72,27365.2,1.90812,1.77342,0.95651,0.55543,0.19753,0.187,0.13424,0.6026,1.63578,0.92751,0.002971,0.002971,0.002971
